sep=,
="USER_NAME",="SOFTWARE_VERSION",="JIGA_FIRMWARE_VERSION",="DATE",="START_TIME",="END_TIME",="DEVICE_MODEL",="ALL_ENABLED_TESTS_STATUS",="SERIAL_NUMBER_STATUS",="SERIAL_NUMBER_VALUE",="LoRa_ID_STATUS",="LoRa_ID_VALUE",="POWER_TEST",="POWER_VALUE (mW)",="V1_TEST",="V1_VALUE (mV)",="V2_TEST",="V2_VALUE (mV)",="V3_TEST",="V3_VALUE (mV)",="V4_TEST",="V4_VALUE (mV)",="V5_TEST",="V5_VALUE (mV)",="UART_TEST",="FIRMWARE_VERSION_TEST",="FIRMWARE_VERSION_VALUE",="GPIO_TEST",="GPIO_JIGA_STATE_1",="GPIO_DUT_STATE_1",="GPIO_JIGA_STATE_2",="GPIO_DUT_STATE_2",="ADC_TEST",="ADC_VALUE (mV)",="G-SENSOR_TEST",="G-SENSOR_X_AXIS",="G-SENSOR_Y_AXIS",="G-SENSOR_Z_AXIS",="LoRa_TEST",="LoRa_channel",="LoRa_DUT_RX_DATA",="LoRa_DUT_TX_DATA",="LoRa_DUT_RSSI",="LoRa_DUT_SNR",="LoRa_JIGA_RX_DATA",="LoRa_JIGA_TX_DATA",="LoRa_JIGA_RSSI",="LoRa_JIGA_SNR",="1-WIRE_TEST",="1-WIRE_VALUE",="GSM_TEST",="GSM_CSQ_RSSI",="GSM_CSQ_BER",="GSM_IMEI",="GSM_ICCID",="GSM_NETWORK_PROVIDER",="GPS_TEST",="GPS_QUALITY_INDICATOR",="GPS_SATELLITES_USED",="GPS_HDOP",="SIM_CARD_TEST",="SIM_CARD_ICCID",="SIM_CARD_NETWORK_PROVIDER",="SETUP_DOWNLOAD",="SETUP_HASH",="LoRa_APP_EUI_STATUS",="LoRa_APP_EUI_VALUE",="LoRa_APP_SESSION_KEY_STATUS",="LORA_APP_SESSION_KEY_VALUE",="LoRa_DEV_ADDRESS_STATUS",="LoRa_DEV_ADDRESS_VALUE",="LoRa_DEV_EUI_STATUS",="LoRa_DEV_EUI_VALUE",="LoRa_NTWK_SESSION_KEY_STATUS",="LoRa_NTWK_SESSION_KEY_VALUE",
="hi-mix",="v 9.0.9 (beta)",="1.0.5",="2024-12-10",="16:39:12",="16:43:29",="RI-0352",="FAIL",="PASS",="25121823",="PASS",="5121823",="PASS",="442",="PASS",="10473",="PASS",="5322",="PASS",="4301",="PASS",="3251",="PASS",="1772",="PASS",="PASS",="v0.5.28",="PASS",="1100",="01000",="0011",="10111",="PASS",="11668",="PASS",="93",="93",="5",="PASS",="904000",="1277161686",="465398550",="-87",="10",="465398550",="1277161686",="-37",="11",="PASS",="519398710E64FF28",="PASS",="24",="99",="863238071270260",="89551080357045139790",="Vivo",="TIMEOUT",="2",="14",="0.76",="-",="",="",="-",="-",="-",="",="-",="",="-",="",="PASS",="00005C87D8D056E4",="-",="",
="hi-mix",="v 9.0.9 (beta)",="1.0.5",="2024-12-10",="16:45:18",="16:50:04",="RI-0352",="PASS",="PASS",="25121823",="PASS",="5121823",="PASS",="354",="PASS",="10473",="PASS",="5312",="PASS",="4301",="PASS",="3247",="PASS",="1767",="PASS",="PASS",="v0.5.28",="PASS",="1100",="01000",="0011",="10111",="PASS",="11654",="PASS",="90",="93",="3",="PASS",="904000",="1855566411",="492170377",="-83",="11",="492170377",="1855566411",="-37",="11",="PASS",="519398710E64FF28",="PASS",="26",="99",="863238071270260",="89551080357045139790",="Vivo",="PASS",="2",="17",="0.64",="PASS",="89550531460000549651",="Claro",="PASS",="-",="PASS",="C50758237721B979",="PASS",="4108A9DA9D473A0FE2E081D7FE186FB2",="PASS",="94BEB633",="PASS",="00005C87D8D056E4",="PASS",="EA87B5EAB919AA1B541D451C06AEC30E",
="hi-mix",="v 9.0.9 (beta)",="1.0.5",="2024-12-10",="16:51:41",="16:56:55",="RI-0352",="PASS",="PASS",="25121816",="PASS",="5121816",="PASS",="708",="PASS",="10441",="PASS",="5332",="PASS",="4321",="PASS",="3266",="PASS",="1772",="PASS",="PASS",="v0.5.28",="PASS",="1100",="01000",="0011",="10111",="PASS",="11515",="PASS",="93",="90",="3",="PASS",="904000",="1871925245",="1254588285",="-76",="11",="1254588285",="1871925245",="-39",="13",="PASS",="519398710E64FF28",="PASS",="25",="99",="863238071281218",="89551080357045139790",="Vivo",="PASS",="1",="16",="0.69",="PASS",="89550531460000549461",="Claro",="PASS",="-",="PASS",="68E60F7C9BD47963",="PASS",="AFB2532D30A2AABE703A51C5F271E6EE",="PASS",="5DEAC07D",="PASS",="00005C87D8D054F0",="PASS",="976D07BC9B1E54C8EF597D59C309C525",
="hi-mix",="v 9.0.9 (beta)",="1.0.5",="2024-12-10",="16:57:15",="17:04:19",="RI-0352",="FAIL",="PASS",="25121662",="PASS",="5121662",="PASS",="702",="PASS",="10376",="PASS",="5312",="PASS",="4331",="PASS",="3251",="PASS",="1772",="PASS",="PASS",="v0.5.28",="PASS",="1100",="01000",="0011",="10111",="PASS",="11515",="PASS",="90",="90",="0",="PASS",="904000",="1438552201",="1523860271",="-79",="11",="1523860271",="1438552201",="-39",="11",="PASS",="519398710E64FF28",="PASS",="26",="0",="863238071279733",="89551080357045139790",="Vivo",="TIMEOUT",="1",="16",="0.70",="-",="",="",="-",="-",="-",="",="-",="",="-",="",="PASS",="00005C87D8D05D90",="-",="",
="hi-mix",="v 9.0.9 (beta)",="1.0.5",="2024-12-10",="17:18:01",="17:24:34",="RI-0352",="PASS",="PASS",="25121357",="PASS",="5121357",="PASS",="712",="PASS",="10409",="PASS",="5302",="PASS",="4350",="PASS",="3256",="PASS",="1767",="PASS",="PASS",="v0.5.28",="PASS",="1100",="01000",="0011",="10111",="PASS",="11502",="PASS",="93",="90",="3",="PASS",="904000",="624037185",="105131891",="-79",="11",="105131891",="624037185",="-37",="12",="PASS",="519398710E64FF28",="PASS",="23",="99",="863238071261855",="89551080357045139790",="Vivo",="PASS",="2",="15",="0.77",="PASS",="89550531460000540791",="Claro",="PASS",="-",="PASS",="F1F214B5827E8500",="PASS",="DADB0AA8AA03973A2D81BE40D1400BBC",="PASS",="05527D07",="PASS",="00005C87D8D05D8B",="PASS",="F5056753715605E11ACFC32AFF2CECDE",
="hi-mix",="v 9.0.9 (beta)",="1.0.5",="2024-12-10",="17:33:51",="17:39:04",="RI-0352",="FAIL",="PASS",="25122026",="PASS",="5122026",="PASS",="780",="PASS",="10312",="PASS",="5263",="PASS",="4321",="PASS",="3247",="PASS",="1772",="PASS",="PASS",="v0.5.28",="PASS",="1100",="01000",="0011",="10111",="PASS",="11529",="PASS",="90",="90",="0",="PASS",="904000",="34158452",="497752366",="-75",="11",="497752366",="34158452",="-35",="11",="PASS",="519398710E64FF28",="PASS",="26",="99",="863238071292967",="89551080357045139790",="Vivo",="TIMEOUT",="2",="16",="0.69",="-",="",="",="-",="-",="-",="",="-",="",="-",="",="PASS",="00005C87D8D056ED",="-",="",
="hi-mix",="v 9.0.9 (beta)",="1.0.5",="2024-12-10",="17:39:42",="17:44:45",="RI-0352",="FAIL",="PASS",="25122026",="PASS",="5122026",="PASS",="540",="PASS",="10409",="PASS",="5273",="PASS",="4321",="PASS",="3251",="PASS",="1772",="PASS",="PASS",="v0.5.28",="PASS",="1100",="01000",="0011",="10111",="PASS",="11543",="PASS",="93",="90",="3",="PASS",="904000",="149977530",="1265387272",="-75",="11",="1265387272",="149977530",="-35",="10",="PASS",="519398710E64FF28",="PASS",="24",="99",="863238071292967",="89551080357045139790",="Vivo",="TIMEOUT",="2",="16",="0.70",="-",="",="",="-",="-",="-",="",="-",="",="-",="",="PASS",="00005C87D8D056ED",="-",="",
="hi-mix",="v 9.0.9 (beta)",="1.0.5",="2024-12-10",="17:45:24",="17:52:43",="RI-0352",="PASS",="PASS",="25121602",="PASS",="5121602",="PASS",="714",="PASS",="10409",="PASS",="5273",="PASS",="4316",="PASS",="3256",="PASS",="1767",="PASS",="PASS",="v0.5.28",="PASS",="1100",="01000",="0011",="10111",="PASS",="11585",="PASS",="93",="93",="5",="PASS",="904000",="322966999",="1313070382",="-71",="11",="1313070382",="322966999",="-37",="11",="PASS",="519398710E64FF28",="PASS",="23",="99",="863238071143459",="89551080357045139790",="Vivo",="PASS",="2",="16",="0.70",="PASS",="89550531460000540783",="Claro",="PASS",="-",="PASS",="2A5F045070771D43",="PASS",="F5A0F267B75BC2114B20A6DE1B4D4AE9",="PASS",="CA96ABC9",="PASS",="00005C87D8D05D04",="PASS",="A9C12A15CCF5985B78BDA9CB12859452",
="hi-mix",="v 9.0.9 (beta)",="1.0.5",="2024-12-10",="17:53:25",="18:00:24",="RI-0352",="PASS",="PASS",="25121684",="PASS",="5121684",="PASS",="750",="PASS",="10441",="PASS",="5273",="PASS",="4326",="PASS",="3266",="PASS",="1782",="PASS",="PASS",="v0.5.28",="PASS",="1100",="01000",="0011",="10111",="PASS",="11419",="PASS",="90",="93",="3",="PASS",="904000",="969362454",="122317363",="-69",="11",="122317363",="969362454",="-38",="11",="PASS",="519398710E64FF28",="PASS",="25",="99",="863238071147237",="89551080357045139790",="Vivo",="PASS",="2",="15",="0.75",="PASS",="89550531460000540775",="Claro",="PASS",="-",="PASS",="559C37E7B6A0B0A8",="PASS",="1CBA78DDC0275D0C83A40CA21BFF05B8",="PASS",="4BD0E0FC",="PASS",="00005C87D8D05D6F",="PASS",="0A98981F9ED6AE7C77B2D25725D16BD2",
="hi-mix",="v 9.0.9 (beta)",="1.0.5",="2024-12-10",="18:02:01",="18:09:39",="RI-0352",="FAIL",="PASS",="25122294",="PASS",="5122294",="PASS",="776",="PASS",="10409",="PASS",="5322",="PASS",="4291",="PASS",="3251",="PASS",="1767",="PASS",="PASS",="v0.5.28",="PASS",="1100",="01000",="0011",="10111",="PASS",="11474",="PASS",="90",="90",="0",="PASS",="904000",="833680098",="2004447992",="-79",="12",="2004447992",="833680098",="-38",="11",="PASS",="519398710E64FF28",="PASS",="26",="99",="863238071281549",="89551080357045139790",="Vivo",="TIMEOUT",="2",="14",="0.81",="-",="",="",="-",="-",="-",="",="-",="",="-",="",="PASS",="00005C87D8D05723",="-",="",
