sep=,
="DATE",="START_TIME",="END_TIME",="USER_NAME",="DEVICE_MODEL",="ALL_ENABLED_TESTS_STATUS",="SERIAL_NUMBER_STATUS",="SERIAL_NUMBER_VALUE",="LoRa_ID_STATUS",="LoRa_ID_VALUE",="POWER_TEST",="POWER_VALUE (mW)",="V1_TEST",="V1_VALUE (mV)",="V2_TEST",="V2_VALUE (mV)",="V3_TEST",="V3_VALUE (mV)",="V4_TEST",="V4_VALUE (mV)",="V5_TEST",="V5_VALUE (mV)",="UART_TEST",="FIRMWARE_VERSION_TEST",="FIRMWARE_VERSION_VALUE",="GPIO_TEST",="GPIO_JIGA_STATE_1",="GPIO_DUT_STATE_1",="GPIO_JIGA_STATE_2",="GPIO_DUT_STATE_2",="ADC_TEST",="ADC_VALUE (mV)",="G-SENSOR_TEST",="G-SENSOR_X_AXIS",="G-SENSOR_Y_AXIS",="G-SENSOR_Z_AXIS",="LoRa_TEST",="LoRa_channel",="LoRa_DUT_RX_DATA",="LoRa_DUT_TX_DATA",="LoRa_DUT_RSSI",="LoRa_DUT_SNR",="LoRa_JIGA_RX_DATA",="LoRa_JIGA_TX_DATA",="LoRa_JIGA_RSSI",="LoRa_JIGA_SNR",="CAN_TEST",="CAN_BIT_RATE",="CAN_DUT_RX_DATA",="CAN_DUT_TX_DATA",="CAN_JIGA_RX_DATA",="CAN_JIGA_TX_DATA",="1-WIRE_TEST",="1-WIRE_VALUE",="GSM_TEST",="GSM_CSQ_RSSI",="GSM_CSQ_BER",="GSM_IMEI",="GSM_ICCID",="GSM_NETWORK_PROVIDER",="GPS_TEST",="GPS_QUALITY_INDICATOR",="GPS_SATELLITES_USED",="GPS_HDOP",="SIM_CARD_TEST",="SIM_CARD_ICCID",="SIM_CARD_NETWORK_PROVIDER",="SETUP_DOWNLOAD",="SETUP_HASH",="LoRa_APP_EUI_STATUS",="LoRa_APP_EUI_VALUE",="LoRa_APP_SESSION_KEY_STATUS",="LORA_APP_SESSION_KEY_VALUE",="LoRa_DEV_ADDRESS_STATUS",="LoRa_DEV_ADDRESS_VALUE",="LoRa_DEV_EUI_STATUS",="LoRa_DEV_EUI_VALUE",="LoRa_NTWK_SESSION_KEY_STATUS",="LoRa_NTWK_SESSION_KEY_VALUE",
="2024-09-04",="07:03:49",="07:12:39",="hi-mix",="RI-0352",="PASS",="PASS",="25109361",="PASS",="5109361",="PASS",="720",="PASS",="10473",="PASS",="5390",="PASS",="4389",="PASS",="3315",="PASS",="1811",="PASS",="PASS",="v0.5.23",="PASS",="1100",="01000",="0011",="10111",="PASS",="11419",="-",="0",="0",="0",="PASS",="906000",="1216624381",="1384700882",="-70",="11",="1384700882",="1216624381",="-33",="11",="-",="1000",="",="",="",="",="PASS",="519398710E64FF28",="PASS",="30",="99",="869671073131755",="89551080357045298505",="Vivo",="PASS",="2",="16",="0.70",="PASS",="89550534400026534961",="Claro",="PASS",="-",="PASS",="661E19AD665760E6",="PASS",="710E948E75ADEE4687F35E0EEE0BD5D9",="PASS",="120ABDC8",="PASS",="000516800014A094",="PASS",="9A150CEB16FE939080CD0D2D30302926",
="2024-09-04",="07:14:17",="07:28:05",="hi-mix",="RI-0352",="FAIL",="PASS",="25109381",="PASS",="5109381",="PASS",="774",="PASS",="10505",="PASS",="5410",="PASS",="4389",="PASS",="3300",="PASS",="1811",="PASS",="PASS",="v0.5.23",="PASS",="1100",="01000",="0011",="10111",="PASS",="11598",="-",="0",="0",="0",="PASS",="906000",="912369930",="108466937",="-68",="11",="108466937",="912369930",="-34",="12",="-",="1000",="",="",="",="",="PASS",="519398710E64FF28",="PASS",="29",="99",="869671073140566",="89551080357045298505",="Vivo",="PASS",="2",="14",="0.74",="PASS",="89550534400026534938",="Claro",="FAIL",="-",="-",="",="-",="",="-",="",="PASS",="0005168000149CF4",="-",="",
="2024-09-04",="07:28:30",="07:34:46",="hi-mix",="RI-0352",="PASS",="PASS",="25109217",="PASS",="5109217",="PASS",="554",="PASS",="10538",="PASS",="5390",="PASS",="4404",="PASS",="3281",="PASS",="1801",="PASS",="PASS",="v0.5.23",="PASS",="1100",="01000",="0011",="10111",="PASS",="11419",="-",="0",="0",="0",="PASS",="906000",="313243891",="1597943035",="-70",="11",="1597943035",="313243891",="-34",="11",="-",="1000",="",="",="",="",="PASS",="519398710E64FF28",="PASS",="29",="99",="869671073150268",="89551080357045297788",="Vivo",="PASS",="2",="13",="0.77",="PASS",="89550534420011922757",="Claro",="PASS",="-",="PASS",="A5E2F52930F184C3",="PASS",="3418D89411206AD275CC0C7C7ACF31F0",="PASS",="E4BA4AD8",="PASS",="0005168000149CAE",="PASS",="3EE2D8C7DEF68289DBA35C24B809A9F5",
="2024-09-04",="07:35:04",="07:41:55",="hi-mix",="RI-0352",="PASS",="PASS",="25109362",="PASS",="5109362",="PASS",="688",="PASS",="10538",="PASS",="5351",="PASS",="4389",="PASS",="3291",="PASS",="1787",="PASS",="PASS",="v0.5.23",="PASS",="1100",="01000",="0011",="10111",="PASS",="11709",="-",="0",="0",="0",="PASS",="906000",="929625969",="841429391",="-73",="8",="841429391",="929625969",="-39",="11",="-",="1000",="",="",="",="",="PASS",="519398710E64FF28",="PASS",="29",="99",="869671073107045",="89551080357045297788",="Vivo",="PASS",="2",="14",="0.72",="PASS",="89550534420011922765",="Claro",="PASS",="-",="PASS",="F341E1D3D5F933D4",="PASS",="07532F0A0478B58C122D439EAE772512",="PASS",="70D1881E",="PASS",="0005168000149CB6",="PASS",="B4741F68F5B7A0978708102F8CCF8033",
="2024-09-04",="07:42:16",="07:48:48",="hi-mix",="RI-0352",="PASS",="PASS",="25109381",="PASS",="5109381",="PASS",="684",="PASS",="10570",="PASS",="5380",="PASS",="4370",="PASS",="3295",="PASS",="1801",="PASS",="PASS",="v0.5.23",="PASS",="1100",="01000",="0011",="10111",="PASS",="11626",="-",="0",="0",="0",="PASS",="906000",="1531697228",="1434646690",="-70",="11",="1434646690",="1531697228",="-34",="11",="-",="1000",="",="",="",="",="PASS",="519398710E64FF28",="PASS",="28",="99",="869671073140566",="89551080357045297788",="Vivo",="PASS",="2",="14",="0.71",="PASS",="89550534400026534938",="Claro",="PASS",="-",="PASS",="F2FCBFE6F8808D45",="PASS",="0EFF3791CFF33080856FB216E56398F4",="PASS",="844711DC",="PASS",="0005168000149CF4",="PASS",="FF377BEB4147A47BF53DD7D1272C56FC",
="2024-09-04",="07:49:20",="08:00:50",="hi-mix",="RI-0352",="FAIL",="PASS",="25109310",="PASS",="5109310",="PASS",="734",="PASS",="10666",="PASS",="5371",="PASS",="4365",="PASS",="3281",="PASS",="1767",="PASS",="PASS",="v0.5.23",="PASS",="1100",="01000",="0011",="10111",="PASS",="11612",="-",="0",="0",="0",="PASS",="906000",="1501469185",="1254889819",="-76",="9",="1254889819",="1501469185",="-36",="11",="-",="1000",="",="",="",="",="PASS",="519398710E64FF28",="TIMEOUT",="0",="0",="869671073128082",="89551080357045297788",="Vivo",="-",="",="",="",="-",="",="",="-",="-",="-",="",="-",="",="-",="",="PASS",="000516800014A612",="-",="",
="2024-09-04",="08:01:05",="08:15:11",="hi-mix",="RI-0352",="FAIL",="PASS",="25109454",="PASS",="5109454",="PASS",="530",="PASS",="10602",="PASS",="5351",="PASS",="4365",="PASS",="3291",="PASS",="1791",="PASS",="PASS",="v0.5.23",="PASS",="1100",="01000",="0011",="10111",="PASS",="11640",="-",="0",="0",="0",="PASS",="906000",="672621833",="946123750",="-71",="11",="946123750",="672621833",="-37",="11",="-",="1000",="",="",="",="",="PASS",="519398710E64FF28",="TIMEOUT",="0",="0",="869671073151795",="89551080357045297788",="Vivo",="-",="",="",="",="-",="",="",="-",="-",="-",="",="-",="",="-",="",="PASS",="0005168000149D85",="-",="",
="2024-09-04",="08:18:25",="08:26:38",="hi-mix",="RI-0352",="PASS",="PASS",="25109454",="PASS",="5109454",="PASS",="718",="PASS",="10602",="PASS",="5361",="PASS",="4360",="PASS",="3291",="PASS",="1777",="PASS",="PASS",="v0.5.23",="PASS",="1100",="01000",="0011",="10111",="PASS",="11626",="-",="0",="0",="0",="PASS",="906000",="1305656297",="813901559",="-71",="8",="813901559",="1305656297",="-36",="11",="-",="1000",="",="",="",="",="PASS",="519398710E64FF28",="PASS",="30",="99",="869671073151795",="89551080357045297788",="Vivo",="PASS",="1",="14",="0.75",="PASS",="89550534420011922773",="Claro",="PASS",="-",="PASS",="ACA18C5CD0B5F5A4",="PASS",="07154AEF384633E615F340CD5FD1CB1B",="PASS",="02F58C6E",="PASS",="0005168000149D85",="PASS",="A012E817160E9A520AF6926728024107",
="2024-09-04",="08:27:03",="08:28:10",="hi-mix",="RI-0352",="FAIL",="PASS",="25109331",="PASS",="5109331",="PASS",="512",="PASS",="10538",="PASS",="5371",="PASS",="4360",="PASS",="3291",="PASS",="1806",="PASS",="PASS",="v0.5.23",="FAIL",="1100",="01000",="0011",="00111",="-",="0",="-",="0",="0",="0",="-",="906000",="",="",="0",="0",="",="",="0",="0",="-",="1000",="",="",="",="",="-",="",="-",="0",="0",="",="",="",="-",="",="",="",="-",="",="",="-",="-",="-",="",="-",="",="-",="",="PASS",="0005168000149D78",="-",="",
="2024-09-04",="08:33:00",="08:43:58",="hi-mix",="RI-0352",="PASS",="PASS",="25109331",="PASS",="5109331",="PASS",="740",="PASS",="10570",="PASS",="5361",="PASS",="4379",="PASS",="3291",="PASS",="1821",="PASS",="PASS",="v0.5.23",="PASS",="1100",="01000",="0011",="10111",="PASS",="11626",="-",="0",="0",="0",="PASS",="906000",="664098789",="258563221",="-73",="11",="258563221",="664098789",="-35",="11",="-",="1000",="",="",="",="",="PASS",="519398710E64FF28",="PASS",="27",="99",="869671073151746",="89551080357045297788",="Vivo",="PASS",="2",="14",="0.77",="PASS",="89550534420011922781",="Claro",="PASS",="-",="PASS",="97E0C00D0E1725EC",="PASS",="0954AC28CE040BDCFDD3085EF50CC870",="PASS",="A419331E",="PASS",="0005168000149D78",="PASS",="46BFE170BEA071E7965268E4B97495B8",
