sep=,
="DATE",="START_TIME",="END_TIME",="USER_NAME",="DEVICE_MODEL",="ALL_ENABLED_TESTS_STATUS",="SERIAL_NUMBER_STATUS",="SERIAL_NUMBER_VALUE",="LoRa_ID_STATUS",="LoRa_ID_VALUE",="POWER_TEST",="POWER_VALUE (mW)",="V1_TEST",="V1_VALUE (mV)",="V2_TEST",="V2_VALUE (mV)",="V3_TEST",="V3_VALUE (mV)",="V4_TEST",="V4_VALUE (mV)",="V5_TEST",="V5_VALUE (mV)",="UART_TEST",="FIRMWARE_VERSION_TEST",="FIRMWARE_VERSION_VALUE",="GPIO_TEST",="GPIO_JIGA_STATE_1",="GPIO_DUT_STATE_1",="GPIO_JIGA_STATE_2",="GPIO_DUT_STATE_2",="ADC_TEST",="ADC_VALUE (mV)",="G-SENSOR_TEST",="G-SENSOR_X_AXIS",="G-SENSOR_Y_AXIS",="G-SENSOR_Z_AXIS",="LoRa_TEST",="LoRa_channel",="LoRa_DUT_RX_DATA",="LoRa_DUT_TX_DATA",="LoRa_DUT_RSSI",="LoRa_DUT_SNR",="LoRa_JIGA_RX_DATA",="LoRa_JIGA_TX_DATA",="LoRa_JIGA_RSSI",="LoRa_JIGA_SNR",="CAN_TEST",="CAN_BIT_RATE",="CAN_DUT_RX_DATA",="CAN_DUT_TX_DATA",="CAN_JIGA_RX_DATA",="CAN_JIGA_TX_DATA",="1-WIRE_TEST",="1-WIRE_VALUE",="GSM_TEST",="GSM_CSQ_RSSI",="GSM_CSQ_BER",="GSM_IMEI",="GSM_ICCID",="GSM_NETWORK_PROVIDER",="GPS_TEST",="GPS_QUALITY_INDICATOR",="GPS_SATELLITES_USED",="GPS_HDOP",="SIM_CARD_TEST",="SIM_CARD_ICCID",="SIM_CARD_NETWORK_PROVIDER",="SETUP_DOWNLOAD",="SETUP_HASH",="LoRa_APP_EUI_STATUS",="LoRa_APP_EUI_VALUE",="LoRa_APP_SESSION_KEY_STATUS",="LORA_APP_SESSION_KEY_VALUE",="LoRa_DEV_ADDRESS_STATUS",="LoRa_DEV_ADDRESS_VALUE",="LoRa_DEV_EUI_STATUS",="LoRa_DEV_EUI_VALUE",="LoRa_NTWK_SESSION_KEY_STATUS",="LoRa_NTWK_SESSION_KEY_VALUE",
="2024-07-01",="11:29:02",="11:30:55",="hi-mix",="RI-0352",="FAIL",="-",="0",="-",="0",="-",="0",="-",="0",="-",="0",="-",="0",="-",="0",="-",="0",="-",="-",="",="-",="",="",="",="",="-",="0",="-",="0",="0",="0",="-",="906000",="",="",="0",="0",="",="",="0",="0",="-",="1000",="",="",="",="",="-",="",="-",="0",="0",="",="",="",="-",="",="",="",="-",="",="",="-",="-",="-",="",="-",="",="-",="",="-",="",="-",="",
="2024-07-01",="11:32:05",="11:33:48",="hi-mix",="RI-0352",="FAIL",="-",="0",="-",="0",="-",="0",="-",="0",="-",="0",="-",="0",="-",="0",="-",="0",="-",="-",="",="-",="",="",="",="",="-",="0",="-",="0",="0",="0",="-",="906000",="",="",="0",="0",="",="",="0",="0",="-",="1000",="",="",="",="",="-",="",="-",="0",="0",="",="",="",="-",="",="",="",="-",="",="",="-",="-",="-",="",="-",="",="-",="",="-",="",="-",="",
="2024-07-01",="11:34:05",="11:42:36",="hi-mix",="RI-0352",="PASS",="PASS",="25102851",="PASS",="5102851",="PASS",="422",="PASS",="10244",="PASS",="5333",="PASS",="4350",="PASS",="3247",="PASS",="1772",="PASS",="PASS",="v0.5.23",="PASS",="1100",="01000",="0011",="10111",="PASS",="11709",="-",="0",="0",="0",="PASS",="906000",="1816219116",="1506139077",="-46",="11",="1506139077",="1816219116",="-48",="9",="-",="1000",="",="",="",="",="PASS",="6200000F26D67028",="PASS",="11",="99",="865413056325623",="89551080157094740260",="Vivo",="PASS",="2",="14",="0.73",="PASS",="89550534400026553979",="Claro",="PASS",="-",="PASS",="E34A2774DC3A0456",="PASS",="15211E8BA3EC6A28B3470753EF5BC5F1",="PASS",="AD270D2D",="PASS",="0005168000147E38",="PASS",="D0AFF69941B5B2AD2F75B29B64FBEC20",
="2024-07-01",="13:08:18",="13:09:27",="hi-mix",="RI-0352",="FAIL",="PASS",="25102561",="PASS",="5102561",="PASS",="318",="PASS",="10276",="PASS",="5383",="PASS",="4365",="PASS",="3286",="PASS",="1806",="PASS",="PASS",="v0.5.23",="FAIL",="1100",="01000",="0111",="",="-",="0",="-",="0",="0",="0",="-",="906000",="",="",="0",="0",="",="",="0",="0",="-",="1000",="",="",="",="",="-",="",="-",="0",="0",="",="",="",="-",="",="",="",="-",="",="",="-",="-",="-",="",="-",="",="-",="",="PASS",="0005168000148EAE",="-",="",
="2024-07-01",="13:10:18",="13:11:22",="hi-mix",="RI-0352",="FAIL",="PASS",="25102561",="PASS",="5102561",="PASS",="338",="PASS",="10308",="PASS",="5363",="PASS",="4360",="PASS",="3286",="PASS",="1801",="PASS",="PASS",="v0.5.23",="FAIL",="1100",="01000",="0111",="",="-",="0",="-",="0",="0",="0",="-",="906000",="",="",="0",="0",="",="",="0",="0",="-",="1000",="",="",="",="",="-",="",="-",="0",="0",="",="",="",="-",="",="",="",="-",="",="",="-",="-",="-",="",="-",="",="-",="",="PASS",="0005168000148EAE",="-",="",
="2024-07-01",="13:11:44",="13:13:45",="hi-mix",="RI-0352",="FAIL",="PASS",="25102664",="PASS",="5102664",="PASS",="718",="PASS",="10276",="PASS",="5383",="PASS",="4326",="PASS",="3295",="PASS",="1791",="PASS",="PASS",="v0.5.23",="PASS",="1100",="01000",="0011",="10111",="PASS",="11654",="-",="0",="0",="0",="-",="906000",="",="",="0",="0",="",="",="0",="0",="-",="1000",="",="",="",="",="TIMEOUT",="6200000F26D67028",="-",="0",="0",="",="",="",="-",="",="",="",="-",="",="",="-",="-",="-",="",="-",="",="-",="",="PASS",="0005168000148B3C",="-",="",
="2024-07-01",="13:16:12",="13:17:47",="hi-mix",="RI-0352",="FAIL",="PASS",="25102528",="PASS",="5102528",="PASS",="314",="PASS",="10308",="PASS",="5402",="PASS",="4335",="PASS",="3247",="PASS",="1767",="PASS",="PASS",="v0.5.23",="PASS",="1100",="01000",="0011",="10111",="PASS",="11640",="-",="0",="0",="0",="-",="906000",="",="",="0",="0",="",="",="0",="0",="-",="1000",="",="",="",="",="FAIL",="",="-",="0",="0",="",="",="",="-",="",="",="",="-",="",="",="-",="-",="-",="",="-",="",="-",="",="PASS",="0005168000148D0A",="-",="",
="2024-07-02",="21:51:52",="22:01:18",="hi-mix",="RI-0352",="FAIL",="PASS",="25102894",="PASS",="5102894",="PASS",="426",="PASS",="10276",="PASS",="5383",="PASS",="4331",="PASS",="3261",="PASS",="1772",="PASS",="PASS",="v0.5.23",="PASS",="1100",="01000",="0011",="10111",="PASS",="11709",="-",="0",="0",="0",="PASS",="906000",="1825786867",="1583488249",="-41",="10",="1583488249",="1825786867",="-44",="8",="-",="1000",="",="",="",="",="PASS",="6200000F26D67028",="PASS",="25",="99",="865413056320202",="89551080157072791251",="Vivo",="PASS",="2",="13",="0.72",="PASS",="89550534400026553508",="Claro",="TIMEOUT",="-",="-",="",="-",="",="-",="",="PASS",="00051680001499E4",="-",="",
="2024-07-02",="22:08:45",="22:16:26",="hi-mix",="RI-0352",="FAIL",="PASS",="25102936",="PASS",="5102936",="PASS",="666",="PASS",="10276",="PASS",="5412",="PASS",="4345",="PASS",="3295",="PASS",="1791",="PASS",="PASS",="v0.5.23",="PASS",="1100",="01000",="0011",="10111",="PASS",="11598",="-",="0",="0",="0",="PASS",="906000",="594762959",="738452047",="-39",="11",="738452047",="594762959",="-48",="9",="-",="1000",="",="",="",="",="PASS",="6200000F26D67028",="PASS",="26",="99",="865413056322687",="89551080157072791251",="Vivo",="PASS",="2",="11",="0.78",="PASS",="89550534400026553474",="Claro",="TIMEOUT",="-",="-",="",="-",="",="-",="",="PASS",="0005168000147F65",="-",="",
="2024-07-02",="22:22:41",="22:33:15",="hi-mix",="RI-0352",="FAIL",="PASS",="25102908",="PASS",="5102908",="PASS",="656",="PASS",="10276",="PASS",="5412",="PASS",="4384",="PASS",="3276",="PASS",="1811",="PASS",="PASS",="v0.5.23",="PASS",="1100",="01000",="0011",="10111",="PASS",="11640",="-",="0",="0",="0",="PASS",="906000",="1514325153",="1282581641",="-40",="11",="1282581641",="1514325153",="-48",="9",="-",="1000",="",="",="",="",="PASS",="6200000F26D67028",="PASS",="24",="99",="865413056325888",="89551080157072791251",="Vivo",="PASS",="1",="8",="1.17",="PASS",="89550534400026553417",="Claro",="TIMEOUT",="-",="-",="",="-",="",="-",="",="PASS",="0005168000147ECD",="-",="",
="2024-07-02",="23:16:36",="23:17:53",="hi-mix",="RI-0352",="FAIL",="-",="0",="-",="0",="PASS",="704",="PASS",="10212",="PASS",="5373",="FAIL",="3354",="-",="0",="-",="0",="-",="-",="",="-",="",="",="",="",="-",="0",="-",="0",="0",="0",="-",="906000",="",="",="0",="0",="",="",="0",="0",="-",="1000",="",="",="",="",="-",="",="-",="0",="0",="",="",="",="-",="",="",="",="-",="",="",="-",="-",="-",="",="-",="",="-",="",="-",="",="-",="",
="2024-07-02",="23:19:51",="23:21:46",="hi-mix",="RI-0352",="FAIL",="PASS",="25103018",="PASS",="5103018",="PASS",="330",="PASS",="10308",="PASS",="5392",="PASS",="4335",="PASS",="3261",="PASS",="1767",="PASS",="PASS",="v0.5.23",="FAIL",="1100",="01000",="0111",="",="-",="0",="-",="0",="0",="0",="-",="906000",="",="",="0",="0",="",="",="0",="0",="-",="1000",="",="",="",="",="-",="",="-",="0",="0",="",="",="",="-",="",="",="",="-",="",="",="-",="-",="-",="",="-",="",="-",="",="PASS",="0005168000148DE9",="-",="",
="2024-07-02",="23:32:28",="23:39:43",="hi-mix",="RI-0352",="PASS",="PASS",="25102843",="PASS",="5102843",="PASS",="632",="PASS",="10244",="PASS",="5373",="PASS",="4350",="PASS",="3256",="PASS",="1782",="PASS",="PASS",="v0.5.23",="PASS",="1100",="01000",="0011",="10111",="PASS",="11557",="-",="0",="0",="0",="PASS",="906000",="449120545",="1099329357",="-39",="11",="1099329357",="449120545",="-47",="9",="-",="1000",="",="",="",="",="PASS",="6200000F26D67028",="PASS",="28",="99",="865413056352916",="89551080157072791251",="Vivo",="PASS",="2",="15",="0.67",="PASS",="89550534400026554035",="Claro",="PASS",="-",="PASS",="B333AA98C46E2B82",="PASS",="C36F04EF3E9E0F1EDBD8A7D1A0A4B9D8",="PASS",="6B761E47",="PASS",="000516800014997F",="PASS",="5EB4B1F3FDBABB8BB4C8C9B116BB2FE7",
="2024-07-03",="15:33:42",="15:44:50",="hi-mix",="RI-0352",="PASS",="PASS",="25103015",="PASS",="5103015",="PASS",="432",="PASS",="10308",="PASS",="5461",="PASS",="4355",="PASS",="3286",="PASS",="1801",="PASS",="PASS",="v0.5.23",="PASS",="1100",="01000",="0011",="10111",="PASS",="11419",="-",="0",="0",="0",="PASS",="906000",="337954980",="550555601",="-40",="12",="550555601",="337954980",="-44",="9",="-",="1000",="",="",="",="",="PASS",="6200000F26D67028",="PASS",="13",="99",="865413056324816",="89551080157072791251",="Vivo",="PASS",="2",="16",="0.62",="PASS",="89550534400026538343",="Claro",="PASS",="-",="PASS",="811D879F82D58501",="PASS",="53BB9485BC35D0D66FB70D96D7A82B8C",="PASS",="F95C3BCC",="PASS",="0005168000147F4F",="PASS",="8DCADFDD3D42A7DEFB0F8228CE3753ED",
